DATE,VIXCLS,DGS10
2015-01-01,,
2015-01-02,17.79,2.12
2015-01-05,19.92,2.04
2015-01-06,21.12,1.97
2015-01-07,19.31,1.96
2015-01-08,17.01,2.03
2015-01-09,17.55,1.98
2015-01-12,19.6,1.92
2015-01-13,20.56,1.91
2015-01-14,21.48,1.86
2015-01-15,22.39,1.77
2015-01-16,20.95,1.83
2015-01-19,,
2015-01-20,19.89,1.82
2015-01-21,18.85,1.87
2015-01-22,16.4,1.9
2015-01-23,16.66,1.81
2015-01-26,15.52,1.83
2015-01-27,17.22,1.83
2015-01-28,20.44,1.73
2015-01-29,18.76,1.77
2015-01-30,20.97,1.68
2015-02-02,19.43,1.68
2015-02-03,17.33,1.79
2015-02-04,18.33,1.81
2015-02-05,16.85,1.83
2015-02-06,17.29,1.95
2015-02-09,18.55,1.96
2015-02-10,17.23,2.01
2015-02-11,16.96,2.0
2015-02-12,15.34,1.99
2015-02-13,14.69,2.02
2015-02-16,,
2015-02-17,15.8,2.14
2015-02-18,15.45,2.07
2015-02-19,15.29,2.11
2015-02-20,14.3,2.13
2015-02-23,14.56,2.06
2015-02-24,13.69,1.99
2015-02-25,13.84,1.96
2015-02-26,13.91,2.03
2015-02-27,13.34,2.0
2015-03-02,13.04,2.08
2015-03-03,13.86,2.12
2015-03-04,14.23,2.12
2015-03-05,14.04,2.11
2015-03-06,15.2,2.24
2015-03-09,15.06,2.2
2015-03-10,16.69,2.14
2015-03-11,16.87,2.11
2015-03-12,15.42,2.1
2015-03-13,16.0,2.13
2015-03-16,15.61,2.1
2015-03-17,15.66,2.06
2015-03-18,13.97,1.93
2015-03-19,14.07,1.98
2015-03-20,13.02,1.93
2015-03-23,13.41,1.92
2015-03-24,13.62,1.88
2015-03-25,15.44,1.93
2015-03-26,15.8,2.01
2015-03-27,15.07,1.95
2015-03-30,14.51,1.96
2015-03-31,15.29,1.94
2015-04-01,15.11,1.87
2015-04-02,14.67,1.92
2015-04-03,,1.85
2015-04-06,14.74,1.92
2015-04-07,14.78,1.89
2015-04-08,13.98,1.92
2015-04-09,13.09,1.97
2015-04-10,12.58,1.96
2015-04-13,13.94,1.94
2015-04-14,13.67,1.9
2015-04-15,12.84,1.91
2015-04-16,12.6,1.9
2015-04-17,13.89,1.87
2015-04-20,13.3,1.9
2015-04-21,13.25,1.92
2015-04-22,12.71,1.99
2015-04-23,12.48,1.96
2015-04-24,12.29,1.93
2015-04-27,13.12,1.94
2015-04-28,12.41,2.0
2015-04-29,13.39,2.06
2015-04-30,14.55,2.05
2015-05-01,12.7,2.12
2015-05-04,12.85,2.16
2015-05-05,14.31,2.19
2015-05-06,15.15,2.25
2015-05-07,15.13,2.18
2015-05-08,12.86,2.16
2015-05-11,13.85,2.28
2015-05-12,13.86,2.28
2015-05-13,13.76,2.27
2015-05-14,12.74,2.23
2015-05-15,12.38,2.14
2015-05-18,12.73,2.23
2015-05-19,12.85,2.27
2015-05-20,12.88,2.26
2015-05-21,12.11,2.19
2015-05-22,12.13,2.21
2015-05-25,,
2015-05-26,14.06,2.14
2015-05-27,13.27,2.14
2015-05-28,13.31,2.13
2015-05-29,13.84,2.12
2015-06-01,13.97,2.19
2015-06-02,14.24,2.27
2015-06-03,13.66,2.38
2015-06-04,14.71,2.31
2015-06-05,14.21,2.41
2015-06-08,15.29,2.39
2015-06-09,14.47,2.42
2015-06-10,13.22,2.5
2015-06-11,12.85,2.39
2015-06-12,13.78,2.39
2015-06-15,15.39,2.36
2015-06-16,14.81,2.32
2015-06-17,14.5,2.32
2015-06-18,13.19,2.35
2015-06-19,13.96,2.26
2015-06-22,12.74,2.37
2015-06-23,12.11,2.42
2015-06-24,13.26,2.38
2015-06-25,14.01,2.4
2015-06-26,14.02,2.49
2015-06-29,18.85,2.33
2015-06-30,18.23,2.35
2015-07-01,16.09,2.43
2015-07-02,16.79,2.4
2015-07-03,,
2015-07-06,17.01,2.3
2015-07-07,16.09,2.27
2015-07-08,19.66,2.22
2015-07-09,19.97,2.32
2015-07-10,16.83,2.42
2015-07-13,13.9,2.44
2015-07-14,13.37,2.41
2015-07-15,13.23,2.36
2015-07-16,12.11,2.36
2015-07-17,11.95,2.34
2015-07-20,12.25,2.38
2015-07-21,12.22,2.35
2015-07-22,12.12,2.33
2015-07-23,12.64,2.28
2015-07-24,13.74,2.27
2015-07-27,15.6,2.23
2015-07-28,13.44,2.26
2015-07-29,12.5,2.29
2015-07-30,12.13,2.28
2015-07-31,12.12,2.2
2015-08-03,12.56,2.16
2015-08-04,13.0,2.23
2015-08-05,12.51,2.28
2015-08-06,13.77,2.23
2015-08-07,13.39,2.18
2015-08-10,12.23,2.24
2015-08-11,13.71,2.15
2015-08-12,13.61,2.14
2015-08-13,13.49,2.19
2015-08-14,12.83,2.2
2015-08-17,13.02,2.16
2015-08-18,13.79,2.2
2015-08-19,15.25,2.12
2015-08-20,19.14,2.09
2015-08-21,28.03,2.05
2015-08-24,40.74,2.01
2015-08-25,36.02,2.12
2015-08-26,30.32,2.18
2015-08-27,26.1,2.18
2015-08-28,26.05,2.19
2015-08-31,28.43,2.21
2015-09-01,31.4,2.17
2015-09-02,26.09,2.2
2015-09-03,25.61,2.18
2015-09-04,27.8,2.13
2015-09-07,,
2015-09-08,24.9,2.2
2015-09-09,26.23,2.21
2015-09-10,24.37,2.23
2015-09-11,23.2,2.2
2015-09-14,24.25,2.18
2015-09-15,22.54,2.28
2015-09-16,21.35,2.3
2015-09-17,21.14,2.21
2015-09-18,22.28,2.13
2015-09-21,20.14,2.2
2015-09-22,22.44,2.14
2015-09-23,22.13,2.16
2015-09-24,23.47,2.13
2015-09-25,23.62,2.17
2015-09-28,27.63,2.1
2015-09-29,26.83,2.05
2015-09-30,24.5,2.06
2015-10-01,22.55,2.05
2015-10-02,20.94,1.99
2015-10-05,19.54,2.07
2015-10-06,19.4,2.05
2015-10-07,18.4,2.08
2015-10-08,17.42,2.12
2015-10-09,17.08,2.12
2015-10-12,16.17,
2015-10-13,17.67,2.06
2015-10-14,18.03,1.99
2015-10-15,16.05,2.04
2015-10-16,15.05,2.04
2015-10-19,14.98,2.04
2015-10-20,15.75,2.08
2015-10-21,16.7,2.04
2015-10-22,14.45,2.04
2015-10-23,14.46,2.09
2015-10-26,15.29,2.07
2015-10-27,15.43,2.05
2015-10-28,14.33,2.1
2015-10-29,14.61,2.19
2015-10-30,15.07,2.16
2015-11-02,14.15,2.2
2015-11-03,14.54,2.23
2015-11-04,15.51,2.25
2015-11-05,15.05,2.26
2015-11-06,14.33,2.34
2015-11-09,16.52,2.36
2015-11-10,15.29,2.32
2015-11-11,16.06,
2015-11-12,18.37,2.32
2015-11-13,20.08,2.28
2015-11-16,18.16,2.27
2015-11-17,18.84,2.25
2015-11-18,16.85,2.27
2015-11-19,16.99,2.24
2015-11-20,15.47,2.26
2015-11-23,15.62,2.25
2015-11-24,15.93,2.24
2015-11-25,15.19,2.23
2015-11-26,,
2015-11-27,15.12,2.22
2015-11-30,16.13,2.21
2015-12-01,14.67,2.15
2015-12-02,15.91,2.18
2015-12-03,18.11,2.33
2015-12-04,14.81,2.28
2015-12-07,15.84,2.23
2015-12-08,17.6,2.24
2015-12-09,19.61,2.22
2015-12-10,19.34,2.24
2015-12-11,24.39,2.13
2015-12-14,22.73,2.23
2015-12-15,20.95,2.28
2015-12-16,17.86,2.3
2015-12-17,18.94,2.24
2015-12-18,20.7,2.19
2015-12-21,18.7,2.2
2015-12-22,16.6,2.24
2015-12-23,15.57,2.27
2015-12-24,15.74,2.25
2015-12-25,,
2015-12-28,16.91,2.24
2015-12-29,16.08,2.32
2015-12-30,17.29,2.31
2015-12-31,18.21,2.27
2016-01-01,,
2016-01-04,20.7,2.24
2016-01-05,19.34,2.25
2016-01-06,20.59,2.18
2016-01-07,24.99,2.16
2016-01-08,27.01,2.13
2016-01-11,24.3,2.17
2016-01-12,22.47,2.12
2016-01-13,25.22,2.08
2016-01-14,23.95,2.1
2016-01-15,27.02,2.03
2016-01-18,,
